method,route,summary,responses,security
"GET","/api/v1/utility-bills/my/accounts","","200","[]"
"POST","/api/v1/utility-bills/my/accounts","","201,400,401,403,409,422","[]"
"POST","/api/v1/utility-bills/my/accounts/{id}/replace","","202,404,409,422","[]"
"DELETE","/api/v1/utility-bills/my/accounts/{id}","","204,404,409","[]"
"POST","/api/v1/utility-bills/my/accounts/{id}/sync","","202,404","[]"
"GET","/api/v1/utility-bills/my/bills","","200","[]"
"GET","/api/v1/utility-bills/my/dashboard-summary","","200","[]"
"GET","/api/v1/utility-bills/accounts","","200","[]"
"POST","/api/v1/utility-bills/accounts","","201,400,404,409","[]"
"POST","/api/v1/utility-bills/accounts/{id}/replace","","202,404,409,422","[]"
"DELETE","/api/v1/utility-bills/accounts/{id}","","204,404,409","[]"
"GET","/api/v1/utility-bills/accounts/{id}","","200,404","[]"
"GET","/api/v1/utility-bills/accounts/{id}/bills","","200,404","[]"
"POST","/api/v1/utility-bills/accounts/{id}/sync","","202,404","[]"
"GET","/api/v1/platform/companies","","200","[]"
"GET","/api/v1/platform/contact-requests","","200","[]"
"GET","/api/v1/platform/contact-requests/{id}","","200","[]"
"PATCH","/api/v1/platform/contact-requests/{id}/status","","200","[]"
"GET","/api/v1/platform/landlord-registrations/pending","","200","[]"
"GET","/api/v1/platform/landlord-registrations/{registrationId}","","200,404","[]"
"POST","/api/v1/platform/landlord-registrations/{registrationId}/approve","","200,404,409,422","[]"
"POST","/api/v1/platform/landlord-registrations/{registrationId}/reject","","200,404,409,422","[]"
"GET","/api/v1/platform/plan-change-requests","","200","[]"
"GET","/api/v1/platform/plan-change-requests/{requestId}","","200","[]"
"POST","/api/v1/platform/plan-change-requests/{requestId}/approve","","200,409,422","[]"
"POST","/api/v1/platform/plan-change-requests/{requestId}/reject","","200,409,422","[]"
"GET","/api/v1/platform/plans","","200","[]"
"POST","/api/v1/platform/plans","","201,409,422","[]"
"GET","/api/v1/platform/plans/{planId}","","200","[]"
"POST","/api/v1/platform/plans/{planId}/activate","","200","[]"
"POST","/api/v1/platform/plans/{planId}/deactivate","","200","[]"
"GET","/api/v1/platform/subscriptions","","200","[]"
"POST","/api/v1/platform/subscriptions","","201,409,422","[]"
"GET","/api/v1/platform/subscriptions/{subscriptionId}","","200","[]"
"GET","/api/v1/notifications/me","","200,400,401","[]"
"GET","/api/v1/notifications/me/unread-count","","200,401","[]"
"PATCH","/api/v1/notifications/{id}/read","","204,401,404,422","[]"
"PATCH","/api/v1/notifications/me/read-all","","200,401","[]"
"GET","/api/v1/notifications","","200,400,401,403","[]"
"POST","/api/v1/notifications","","201,400,401,403,404,422","[]"
"PATCH","/api/v1/notifications/{notificationId}/deliveries/{deliveryId}","","204,400,401,403,404,422","[]"
"GET","/api/v1/notification-deliveries/failed","","200,400,401,403","[]"
"GET","/api/v1/notification-templates","","200,401","[]"
"POST","/api/v1/notification-templates","","201,400,401,403,409,422","[]"
"GET","/api/v1/notification-templates/{id}","","200,401,404","[]"
"PUT","/api/v1/notification-templates/{id}","","204,400,401,403,404,409,422","[]"
"DELETE","/api/v1/notification-templates/{id}","","204,401,403,404,422","[]"
"POST","/api/v1/marketplace/listings","","200","[]"
"GET","/api/v1/marketplace/listings","","200","[]"
"PUT","/api/v1/marketplace/listings/{id}","","200","[]"
"DELETE","/api/v1/marketplace/listings/{id}","","200","[]"
"GET","/api/v1/marketplace/listings/{id}","","200","[]"
"POST","/api/v1/marketplace/listings/{id}/publish","","200","[]"
