module,file,line,method,route,backendMatches,runtime
"network","mobile/lib/core/network/api_client.dart","214","POST","/api/v1/auth/refresh","POST /api/v1/auth/refresh","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","28","POST","/api/v1/auth/login","POST /api/v1/auth/login","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","51","POST","/api/v1/auth/register","POST /api/v1/auth/register","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","69","POST","/api/v1/auth/otp/request","POST /api/v1/auth/otp/request","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","78","POST","/api/v1/auth/otp/verify","POST /api/v1/auth/otp/verify","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","86","POST","/api/v1/auth/password-reset/request","POST /api/v1/auth/password-reset/request","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","94","POST","/api/v1/auth/password-reset/verify-otp","POST /api/v1/auth/password-reset/verify-otp","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","108","POST","/api/v1/auth/password-reset/complete","POST /api/v1/auth/password-reset/complete","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","116","GET","/api/v1/auth/tenant-activation-status","GET /api/v1/auth/tenant-activation-status","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","124","POST","/api/v1/auth/tenant-activate","POST /api/v1/auth/tenant-activate","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","136","GET","/api/v1/auth/me","GET /api/v1/auth/me","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","148","POST","/api/v1/auth/logout","POST /api/v1/auth/logout","NOT_TESTED"
"auth","mobile/lib/features/auth/data/auth_repository.dart","158","POST","/api/v1/auth/logout-all","POST /api/v1/auth/logout-all","NOT_TESTED"
"dashboard","mobile/lib/features/dashboard/data/dashboard_repository.dart","18","GET","/api/v1/dashboard/summary","GET /api/v1/dashboard/summary","NOT_TESTED"
"financial_operations","mobile/lib/features/financial_operations/data/expenses_repository.dart","36","GET","/api/v1/expenses","GET /api/v1/expenses","NOT_TESTED"
"financial_operations","mobile/lib/features/financial_operations/data/expenses_repository.dart","42","GET","/api/v1/expenses/${_id(id)}","GET /api/v1/expenses/{id}","NOT_TESTED"
"financial_operations","mobile/lib/features/financial_operations/data/expenses_repository.dart","47","GET","/api/v1/files/${_id(fileId)}/download-url","GET /api/v1/files/{id}/download-url","NOT_TESTED"
"leasing","mobile/lib/features/leasing/data/lease_files.dart","86","POST","/api/v1/files/upload-request","POST /api/v1/files/upload-request","NOT_TESTED"
"leasing","mobile/lib/features/leasing/data/lease_files.dart","159","POST","/api/v1/files/confirm","POST /api/v1/files/confirm","NOT_TESTED"
"leasing","mobile/lib/features/leasing/data/leasing_repository.dart","8","DYNAMIC","/api/v1/leasing/contracts","POST /api/v1/leasing/contracts","NOT_TESTED"
"leasing","mobile/lib/features/leasing/data/leasing_repository.dart","9","DYNAMIC","/api/v1/utility-bills/accounts","GET /api/v1/utility-bills/accounts | POST /api/v1/utility-bills/accounts","NOT_TESTED"
"leasing","mobile/lib/features/leasing/data/leasing_repository.dart","66","GET","/api/v1/leasing/tenants","GET /api/v1/leasing/tenants","NOT_TESTED"
"leasing","mobile/lib/features/leasing/data/leasing_repository.dart","71","GET","/api/v1/leasing/tenants","GET /api/v1/leasing/tenants","NOT_TESTED"
"leasing","mobile/lib/features/leasing/data/leasing_repository.dart","78","GET","/api/v1/leasing/tenants/${Uri.encodeComponent(id)}","GET /api/v1/leasing/tenants/{tenantId}","NOT_TESTED"
"leasing","mobile/lib/features/leasing/data/leasing_repository.dart","83","POST","/api/v1/leasing/tenants","POST /api/v1/leasing/tenants","NOT_TESTED"
