screen,file,line,module,kind,runtime
"AuthFlowPage","mobile/lib/features/auth/presentation/auth_flows.dart","17","auth","StatefulWidget","NOT_TESTED"
"OtpVerifyPage","mobile/lib/features/auth/presentation/auth_flows.dart","455","auth","StatefulWidget","NOT_TESTED"
"PasswordResetOtpPage","mobile/lib/features/auth/presentation/auth_flows.dart","583","auth","StatelessWidget","NOT_TESTED"
"PasswordEntryPage","mobile/lib/features/auth/presentation/auth_flows.dart","633","auth","StatefulWidget","NOT_TESTED"
"ActivationSuccessPage","mobile/lib/features/auth/presentation/auth_flows.dart","751","auth","StatelessWidget","NOT_TESTED"
"LoginScreen","mobile/lib/features/auth/presentation/login_screen.dart","7","auth","StatefulWidget","NOT_TESTED"
"CompanyDashboardScreen","mobile/lib/features/dashboard/presentation/company_dashboard_screen.dart","7","dashboard","StatefulWidget","NOT_TESTED"
"ExpensesScreen","mobile/lib/features/financial_operations/presentation/expenses_screen.dart","12","financial_operations","StatefulWidget","NOT_TESTED"
"ExpenseDetailScreen","mobile/lib/features/financial_operations/presentation/expense_detail_screen.dart","9","financial_operations","StatefulWidget","NOT_TESTED"
"FinancialOperationsScreen","mobile/lib/features/financial_operations/presentation/financial_operations_screen.dart","16","financial_operations","StatefulWidget","NOT_TESTED"
"UtilityAccountsScreen","mobile/lib/features/financial_operations/presentation/utility_accounts_screen.dart","8","financial_operations","StatefulWidget","NOT_TESTED"
"UtilityAccountFormScreen","mobile/lib/features/financial_operations/presentation/utility_accounts_screen.dart","248","financial_operations","StatefulWidget","NOT_TESTED"
"UtilityAccountDetailScreen","mobile/lib/features/financial_operations/presentation/utility_accounts_screen.dart","399","financial_operations","StatefulWidget","NOT_TESTED"
"LeaseDetailScreen","mobile/lib/features/leasing/presentation/lease_detail_screen.dart","15","leasing","StatefulWidget","NOT_TESTED"
"LeaseDocumentScreen","mobile/lib/features/leasing/presentation/lease_document_screen.dart","9","leasing","StatefulWidget","NOT_TESTED"
"LeaseFormScreen","mobile/lib/features/leasing/presentation/lease_form_screen.dart","12","leasing","StatefulWidget","NOT_TESTED"
"LeaseListScreen","mobile/lib/features/leasing/presentation/lease_list_screen.dart","12","leasing","StatefulWidget","NOT_TESTED"
"LeasingLanding","mobile/lib/features/leasing/presentation/leasing_landing.dart","11","leasing","StatefulWidget","NOT_TESTED"
"TenantManagementScreen","mobile/lib/features/leasing/presentation/tenant_management_screen.dart","11","leasing","StatefulWidget","NOT_TESTED"
"TenantFormScreen","mobile/lib/features/leasing/presentation/tenant_management_screen.dart","148","leasing","StatefulWidget","NOT_TESTED"
"TenantDetailScreen","mobile/lib/features/leasing/presentation/tenant_management_screen.dart","296","leasing","StatefulWidget","NOT_TESTED"
"NotificationsScreen","mobile/lib/features/notifications/presentation/notifications_screen.dart","88","notifications","StatefulWidget","NOT_TESTED"
"ParkingScreen","mobile/lib/features/parking/parking_screen.dart","22","parking","StatefulWidget","NOT_TESTED"
"PaymentsScreen","mobile/lib/features/payments/presentation/payments_screen.dart","12","payments","StatefulWidget","NOT_TESTED"
"PaymentDetailScreen","mobile/lib/features/payments/presentation/payment_detail_screen.dart","13","payments","StatefulWidget","NOT_TESTED"
"PaymentSubmissionScreen","mobile/lib/features/payments/presentation/payment_submission_screen.dart","7","payments","StatefulWidget","NOT_TESTED"
"VerificationScreen","mobile/lib/features/payments/presentation/verification_screen.dart","8","payments","StatefulWidget","NOT_TESTED"
"ApartmentDetailsScreen","mobile/lib/features/properties/presentation/apartment_details_screen.dart","10","properties","StatelessWidget","NOT_TESTED"
"BuildingDetailsScreen","mobile/lib/features/properties/presentation/building_details_screen.dart","11","properties","StatelessWidget","NOT_TESTED"
"FloorDetailsScreen","mobile/lib/features/properties/presentation/floor_details_screen.dart","11","properties","StatelessWidget","NOT_TESTED"
"PropertiesLanding","mobile/lib/features/properties/presentation/properties_landing.dart","10","properties","StatelessWidget","NOT_TESTED"
"PropertyCollectionScreen","mobile/lib/features/properties/presentation/property_collection_screen.dart","42","properties","StatefulWidget","NOT_TESTED"
"PropertyEditorScreen","mobile/lib/features/properties/presentation/property_editor_screen.dart","10","properties","StatefulWidget","NOT_TESTED"
"CompanyProfileScreen","mobile/lib/features/settings/company_profile_screen.dart","8","settings","StatefulWidget","NOT_TESTED"
"CompanyProfileEditScreen","mobile/lib/features/settings/company_profile_screen.dart","155","settings","StatefulWidget","NOT_TESTED"
"OperationalSettingsScreen","mobile/lib/features/settings/operational_settings_screen.dart","8","settings","StatefulWidget","NOT_TESTED"
"SettingsScreen","mobile/lib/features/settings/settings_screen.dart","9","settings","StatelessWidget","NOT_TESTED"
"AppShell","mobile/lib/features/shell/presentation/app_shell.dart","48","shell","StatefulWidget","NOT_TESTED"
"TenantDashboardScreen","mobile/lib/features/tenant_portal/presentation/tenant_dashboard_screen.dart","14","tenant_portal","StatefulWidget","NOT_TESTED"
"TenantLeaseScreen","mobile/lib/features/tenant_portal/presentation/tenant_lease_screen.dart","9","tenant_portal","StatefulWidget","NOT_TESTED"
"TenantProfileScreen","mobile/lib/features/tenant_portal/presentation/tenant_profile_screen.dart","8","tenant_portal","StatefulWidget","NOT_TESTED"
"TenantUtilitiesScreen","mobile/lib/features/tenant_portal/utilities/tenant_utilities_screen.dart","10","tenant_portal","StatefulWidget","NOT_TESTED"
"DesignSystemPlayground","mobile/lib/playground/design_system_playground.dart","20","design_system_playground.dart","StatefulWidget","NOT_TESTED"
